Gesture, Heart
0.02786112, 0.2289487, 0
-0.04311854, 0.2848909, 0
-0.1190239, 0.3567684, 0
-0.195892, 0.3981217, 0
-0.3081519, 0.3943624, 0
-0.3781538, 0.3417385, 0
-0.4264625, 0.2633469, 0
-0.4420637, 0.1559922, 0
-0.4307855, 0.04464459, 0
-0.3991491, -0.05988789, 0
-0.3529139, -0.1523583, 0
-0.2910751, -0.2422012, 0
-0.2234852, -0.3247493, 0
-0.1638682, -0.4041057, 0
-0.09979858, -0.477978, 0
-0.04732692, -0.5502407, 0
0.1089483, 0.3401112, 1
0.1970687, 0.3755653, 1
0.3024548, 0.3605277, 1
0.3983398, 0.3246357, 1
0.4579083, 0.2627834, 1
0.4752294, 0.1618831, 1
0.4639513, 0.04986558, 1
0.4306282, -0.05625425, 1
0.3820332, -0.1566922, 1
0.3269792, -0.2517627, 1
0.2621085, -0.3375556, 1
0.1934402, -0.3987053, 1
0.111189, -0.4552618, 1
0.03162044, -0.5115324, 1
-0.02477053, -0.5755624, 1
