Gesture, LightningBolt
0.05146712, 0.5944437, 0
0.02442744, 0.5447502, 0
-0.003717029, 0.4958912, 0
-0.03378794, 0.4480563, 0
-0.06642389, 0.4022563, 0
-0.09709807, 0.3543309, 0
-0.1295926, 0.3078435, 0
-0.1590119, 0.2597271, 0
-0.1917549, 0.2131964, 0
-0.2204626, 0.1649354, 0
-0.2351568, 0.1229525, 0
-0.1790845, 0.1163734, 0
-0.1226418, 0.1085318, 0
-0.06611616, 0.1026351, 0
-0.00933817, 0.09882963, 0
0.04752913, 0.09663659, 0
0.104362, 0.09444362, 0
0.1613508, 0.09444362, 0
0.2183396, 0.09444362, 0
0.2748106, 0.0922507, 0
0.2626924, 0.05347598, 0
0.2298909, 0.008308835, 0
0.198177, -0.03757535, 0
0.1660841, -0.08387404, 0
0.1322777, -0.1296529, 0
0.09773343, -0.174866, 0
0.06538385, -0.2213042, 0
0.03187985, -0.2670995, 0
-0.004842279, -0.309324, 0
-0.04721706, -0.343144, 0
-0.08446217, -0.374819, 0
-0.1239713, -0.4055563, 0
