Gesture, Shield
-0.323789, 0.4750401, 0
-0.323789, 0.3813006, 0
-0.323789, 0.287561, 0
-0.3269535, 0.1945684, 0
-0.3269535, 0.1008288, 0
-0.3269535, 0.00708925, 0
-0.3222606, -0.08497882, 0
-0.307335, -0.1708451, 0
-0.2436839, -0.2326385, 0
-0.1801357, -0.2964439, 0
-0.1289431, -0.3703479, 0
-0.07829937, -0.4413356, 0
-0.02394238, -0.4988572, 0
0.03003087, -0.4970893, 0
0.08461293, -0.4266845, 0
0.1496301, -0.3711611, 0
0.2114683, -0.3093229, 0
0.2679832, -0.2452801, 0
0.2743124, -0.1578698, 0
0.2648188, -0.06693503, 0
0.2616539, 0.02605732, 0
0.2521603, 0.1166617, 0
0.239502, 0.2076465, 0
0.2363377, 0.3006392, 0
0.233173, 0.391214, 0
0.2200949, 0.4718755, 0
0.1310347, 0.4592174, 0
0.03835556, 0.4528883, 0
-0.05538402, 0.4528883, 0
-0.1491236, 0.4528883, 0
-0.2415523, 0.4497237, 0
-0.3332827, 0.4402301, 0
