Gesture, Spiral
0.11868, 0.4801794, 0
-0.01367569, 0.4557229, 0
-0.1381603, 0.3993136, 0
-0.2481945, 0.3162212, 0
-0.348742, 0.2219967, 0
-0.418885, 0.1056578, 0
-0.4492548, -0.02951963, 0
-0.4284105, -0.1670403, 0
-0.3594078, -0.2864712, 0
-0.2548853, -0.3772337, 0
-0.1360144, -0.4496622, 0
-0.01015482, -0.5095911, 0
0.1272779, -0.5143859, 0
0.2423577, -0.4470759, 0
0.3324075, -0.3405336, 0
0.4024048, -0.2213926, 0
0.4338975, -0.08686681, 0
0.4202329, 0.05106423, 0
0.3567595, 0.1687302, 0
0.2422385, 0.2336176, 0
0.1052501, 0.2492011, 0
-0.03496486, 0.2519186, 0
-0.1627508, 0.2096182, 0
-0.2584432, 0.1210164, 0
-0.2862112, -0.01053722, 0
-0.2120033, -0.12392, 0
-0.1094363, -0.2156175, 0
0.01644433, -0.237212, 0
0.1346259, -0.172353, 0
0.2110712, -0.07063888, 0
0.1584518, 0.03773914, 0
0.029006, 0.03180969, 0
