Gesture, Teardrop
0.01108816, 0.5333998, 0
0.0134466, 0.4502954, 0
0.005600064, 0.3691218, 0
-0.01934762, 0.2956416, 0
-0.05730808, 0.2275271, 0
-0.1011331, 0.1613588, 0
-0.1487416, 0.09762669, 0
-0.1954276, 0.03310416, 0
-0.2365533, -0.03617023, 0
-0.269411, -0.1055898, 0
-0.2860816, -0.1848977, 0
-0.2907986, -0.2662159, 0
-0.2587201, -0.3383013, 0
-0.2029703, -0.3925899, 0
-0.1323646, -0.4321474, 0
-0.05266324, -0.4500667, 0
0.03060488, -0.4500908, 0
0.1059037, -0.4238301, 0
0.1761245, -0.3817235, 0
0.2378673, -0.3314379, 0
0.2785681, -0.2651578, 0
0.2870316, -0.184131, 0
0.270522, -0.1058428, 0
0.2348633, -0.03207512, 0
0.1909982, 0.03273507, 0
0.1462004, 0.09336384, 0
0.1054279, 0.1610074, 0
0.07240883, 0.233476, 0
0.04965919, 0.309196, 0
0.03330091, 0.3893168, 0
0.02288058, 0.4710846, 0
0.0134466, 0.5499077, 0
