Gesture, CircleWithCross
-0.5445483, -0.1578333, 0
-0.5103334, -0.2801968, 0
-0.4083652, -0.3588794, 0
-0.2908939, -0.4159154, 0
-0.1650427, -0.4507071, 0
-0.0342683, -0.4551655, 0
0.0954724, -0.4416076, 0
0.2225123, -0.4121168, 0
0.3276023, -0.3382663, 0
0.398005, -0.2294489, 0
0.4432815, -0.1084379, 0
0.4554517, 0.02120939, 0
0.4303357, 0.1478498, 0
0.350014, 0.2460786, 0
0.2376792, 0.3090636, 0
0.1160843, 0.3492834, 0
-0.01127031, 0.3662631, 0
-0.1344719, 0.3496811, 0
0.04096995, -0.0489451, 1
0.1182597, -0.1460348, 1
-0.08434246, -0.1194509, 2
0.0258944, -0.05402939, 2
0.1319109, 0.01699272, 2
0.2131031, 0.1009569, 2
